sample_id,text,true_keywords,keybert_keywords,keybert_precision,keybert_recall,keybert_f1,keybert_map,keybert_ndcg,keybert_semantic_sim,tfidf_keywords,tfidf_precision,tfidf_recall,tfidf_f1,tfidf_map,tfidf_ndcg,tfidf_semantic_sim,textrank_keywords,textrank_precision,textrank_recall,textrank_f1,textrank_map,textrank_ndcg,textrank_semantic_sim
10,"Exxon’s Second-Quarter Earnings Set a Record HOUSTON — Exxon Mobil reported the best quarterly profit ever for a corporation on Thursday, beating its own record, but investors sold off shares as oil a...",Company Reports; Exxon Mobil Corp; Royal Dutch Shell Plc,exxon profits; best quarterly; set record; bp shell; chief executive,0.0,0.0,0.0,0.0,0.0,0.43218154,energy; business,0.0,0.0,0.0,0.0,0.0,0.3541121184825897,oil; exxon; production; quarter; company,0.0,0.0,0.0,0.0,0.0,0.55661106
11,"Hope dims to find missing Yazidi women enslaved by Islamic State, sold to its fighters  DAHUK, IRAQ - Baseh Hammo was 38 when she was enslaved by militants of the Islamic State group. Raped and abused...",yazidis; islamic state; iraq; syria; baghouz; slavery; conflict; terrorism,missing yazidi; abducted women; iraq baseh; too hammo; tent she,0.0,0.0,0.0,0.0,0.0,0.59240216,government; training; community,0.0,0.0,0.0,0.0,0.0,0.40149322152137756,said; iraq; yazidi; hammo; baghouz,0.4,0.25,0.3076923076923077,0.159375,0.34519134224686937,0.8170804
12,Ex-temp worker runs down 11 at Mazda plant in Hiroshima  HIROSHIMA - A former temporary worker at Mazda Motor Corp. hit 11 Mazda employees with a car Tuesday morning at the automaker’s plant in the ci...,mazda; hiroshima; toshiaki hikiji; murder,attack workers; temp worker; terminated; motor corp; he fled,0.0,0.0,0.0,0.0,0.0,0.33325425,,0.0,0.0,0.0,0.0,0.0,0.0,mazda; said; workers; hit; plant,0.2,0.25,0.22222222222222224,0.3125,0.3903800499921017,0.54319924
13,"Nikkei closes above 22,000 for first time in four months  Stocks soared on the Tokyo Stock Exchange on Monday, with the benchmark Nikkei average topping 22,000 for the first time in four months. The 2...",stocks; tse; equities,tokyo stock; nikkei average; surged 22; nikkei closes; months stocks,0.0,0.0,0.0,0.0,0.0,0.43692422,technology,0.0,0.0,0.0,0.0,0.0,0.6252731084823608,percent; market; friday; corp; nikkei,0.0,0.0,0.0,0.0,0.0,0.6165334
14,Osaka vows to strengthen disaster measures one year on from quake  OSAKA - School and municipal government officials in Osaka Prefecture reaffirmed Tuesday their commitment to beefing up anti-earthqua...,osaka; schools; earthquakes,to strengthen; to takatsuki; mayor takeshi; fence disaster; the schoolgirl,0.0,0.0,0.0,0.0,0.0,0.36273894,education; government,0.0,0.0,0.0,0.0,0.0,0.6058430671691895,school; year; city; disaster; wall,0.0,0.0,0.0,0.041666666666666664,0.0,0.5298019
15,"Tokyo stocks turn lower amid vigilance over U.S.-Mexico tariff talks  Stocks fell back in slow trading on the Tokyo Stock Exchange Thursday, as investors retreated to the sidelines to see developments...",stocks; tse; nikkei 225,tokyo stocks; stocks fell; slow trading; turn lower; jxtg and,0.0,0.0,0.0,0.0,0.0,0.44129315,data; technology; government; energy,0.0,0.0,0.0,0.0,0.0,0.49889689683914185,issues; percent; tokyo; trading; said,0.0,0.0,0.0,0.0,0.0,0.5221666
16,"Indian City Overwhelmed by Air Pollution – New Delhi Journal NEW DELHI — When an acrid blanket of gray smog settled over India’s capital last month, environmentalists warned of health hazards, India’s...",Air Pollution; Environment; New Delhi (India); Automobiles,polluted air; worsening here; delhi measured; india supreme; matter called,0.0,0.0,0.0,0.0,0.0,0.54725856,government; data; health; environment; medical,0.2,0.25,0.22222222222222224,0.0625,0.16812753627111746,0.4432036280632019,delhi; pollution; air; said; new,0.0,0.0,0.0,0.0,0.0,0.62104094
17,British Agency Is Cleared of Illegal Data Gathering LONDON — A parliamentary committee on Wednesday cleared Britain’s electronic intelligence-gathering agency of working with its American counterparts...,Great Britain; Government Surveillance; NSA,british agency; data gathering; acted illegally; cables carrying; sensitive the,0.0,0.0,0.0,0.0,0.0,0.36411342,intelligence; data; law; government; legislation,0.0,0.0,0.0,0.0,0.0,0.47554025053977966,committee; gchq; intelligence; agency; data,0.0,0.0,0.0,0.0,0.0,0.404286
18,Emperor's abdication highlights the inconvenience behind the country's Imperial naming system  For two weeks the media has been buzzing about the news that Emperor Akihito will abdicate before 2019. I...,abdication; emperor akihito; imperial family; royalty; emperor naruhito,sankei isn; knew nothing; said will; longer use; computer,0.0,0.0,0.0,0.0,0.0,0.27900687,society; government; culture; development; law,0.0,0.0,0.0,0.0,0.0,0.3994605839252472,era; new; would; emperor; media,0.0,0.0,0.0,0.0,0.0,0.46702784
19,"WaMu’s Lesson for Private Equity WaMu’s Lesson For Private Equity The new era of private equity is proving treacherous for some old hands. The collapse of the nation’s largest savings and loan , Washi...",Private Equity; Credit; Washington Mutual Inc; TPG Capital; Subprime Mortgage Crisis,private equity; bankrupt year; the wamu; stock closed; debacle may,0.2,0.2,0.20000000000000004,0.2,0.3391602052736161,0.4643097,management; business; learning,0.0,0.0,0.0,0.0,0.0,0.35227856040000916,tpg; private; wamu; equity; buyout,0.0,0.0,0.0,0.0,0.0,0.5364442
20,Abe orders Japanese ministries to prepare response to asset seizures in South Korea following ruling on forced labor case  Prime Minister Shinzo Abe has directed ministries to look into countermeasure...,south korea; shinzo abe; nippon steel; history; wartime labor,korea took; abe orders; seizures in; kono urged; crown prince,0.0,0.0,0.0,0.0,0.0,0.4461204,change; law; government; deep,0.0,0.0,0.0,0.0,0.0,0.402832567691803,abe; japan; south; said; peace,0.0,0.0,0.0,0.0,0.0,0.55260587
21,"If It’s N.B.A. Players vs. Owners, What About the Fans? The N.B.A. got younger this week; what remains to been seen is whether the league got any wiser. On Thursday, dozens of N.B.A. players met in Ne...",Labor and Jobs; National Basketball Assn; Basketball; Hunter Billy; Stern David; Lockouts; Organized Labor,players wonder; fans continue; and young; we shake; public attitude,0.0,0.0,0.0,0.0,0.0,0.31990778,climate; management; change,0.0,0.0,0.0,0.0,0.0,0.2918856143951416,players; fans; labor; hunter; owners,0.0,0.0,0.0,0.0,0.0,0.5610596
22,"Sheathing Planes in a New Skin to Repel Frost and Ice De-icing aircraft with chemicals is expensive, environmentally unfriendly and time-consuming, as stranded passengers during winter blizzards may b...",Ice; Nanotechnology; Science and Technology,frost repellent; icing but; building planes; blizzards; chemicals is,0.0,0.0,0.0,0.0,0.0,0.48116702,technology,0.0,0.0,0.0,0.0,0.0,0.8107377290725708,frost; ice; surface; water; hydrophobic,0.2,0.3333333333333333,0.25,0.16666666666666666,0.2960819109658652,0.5502758
23,"Empress emerita told to take it easy after doctors diagnose heart valve abnormalities  Empress Emerita Michiko has been diagnosed with heart valve abnormalities, the Imperial Household Agency said Mon...",heart; abdication; royalty; emperor akihito; imperial family; empress michiko,emerita will; heart valve; her coronary; it easy; retired from,0.0,0.0,0.0,0.0,0.0,0.46058822,treatment,0.0,0.0,0.0,0.0,0.0,0.38227930665016174,heart; agency; said; empress; emerita,0.2,0.16666666666666666,0.1818181818181818,0.16666666666666666,0.3391602052736161,0.6675437
24,"At the S.E.C., a Question of Home-Court Edge SINCE Mary Jo White settled in as chairwoman of the Securities and Exchange Commission, lots of tough talk has emanated from the agency about enforcement p...",SEC; Judiciary; Dodd Frank; Andrew J Ceresney,ceresney co; brings civil; re investigated; jo white; unbiased,0.0,0.0,0.0,0.0,0.0,0.41863197,law; government; change; social,0.0,0.0,0.0,0.0,0.0,0.4739929139614105,administrative; law; judges; agency; cases,0.0,0.0,0.0,0.0,0.0,0.66281366
25,Teeth of Australopithecines Hold Clues to Social Structure Researchers studying the diet of human ancestors who lived two million years ago in southern Africa have unexpectedly come across a crucial c...,Research; Evolution; Teeth and Dentistry; Monkeys and Apes; Science and Technology,africa have; not evolve; years ago; human hunter; teeth can,0.0,0.0,0.0,0.0,0.0,0.5649487,social; human; data; community; behavior,0.0,0.0,0.0,0.03333333333333333,0.0,0.6058768033981323,social; females; human; males; said,0.0,0.0,0.0,0.0,0.0,0.56277484
26,Scientists warn of 'unprecedented changes' on Japan's marine life as amount of CO2 increases  LONDON - Japan’s marine life could see “unprecedented changes” if carbon dioxide emissions keep increasing...,marine life; co2 emissions; ocean; corals; environment,seawater co2; corals will; emissions keep; waves one; calcified life,0.0,0.0,0.0,0.0,0.0,0.6573819,research,0.0,0.0,0.0,0.0,0.0,0.5676023960113525,levels; japan; marine; coral; scientists,0.0,0.0,0.0,0.02857142857142857,0.0,0.56719905
27,"Chilean officials say man died while handling bomb  SANTIAGO - A man handling a bomb died when the device exploded in downtown Santiago on Thursday, officials said, adding to a string of blasts in Chi...",chile; bomb; anarchist; fatality; michelle bachelet; terrorist,man died; handling bomb; flames before; bachelet who; artefact and,0.0,0.0,0.0,0.0,0.0,0.5709792,,0.0,0.0,0.0,0.0,0.0,0.0,man; said; santiago; bomb; died,0.2,0.16666666666666666,0.1818181818181818,0.041666666666666664,0.14606834984270645,0.74227405
28,Japan to ease language requirements for foreign nursing care trainees amid sluggish growth in applications  The central government plans to ease language requirements for foreign technical interns in ...,nursing care; jobs; elderly; immigration; nihongo; foreign trainees,foreign nursing; interns can; visa policy; teachers; more laborers,0.0,0.0,0.0,0.0,0.0,0.5828543,government; skills; knowledge; change; policy,0.0,0.0,0.0,0.0,0.0,0.40972375869750977,workers; government; care; foreign; technical,0.0,0.0,0.0,0.0,0.0,0.5428697
29,Commission Gives Insight on Expected Health Increases WASHINGTON — State regulators are looking for ways to protect consumers against increases in health insurance rates that they expect to occur next...,"Health Insurance; Obamacare,Affordable Care Act; National Assn of Insurance Commissioners; US states",all insurers; expected health; analyzes steps; tax revenue; effect paper,0.0,0.0,0.0,0.0,0.0,0.39531368,health; law; government; human; regulation,0.0,0.0,0.0,0.0,0.0,0.44602879881858826,insurance; rate; increases; states; says,0.0,0.0,0.0,0.0,0.0,0.5266675
30,"City (Manchester) in the City (N.Y.) What do Brooklyn Bridge Park, the High Line, Yankee Stadium and Rucker Park have in common, besides being part of the fabric of New York City? On Monday, the day b...",Soccer; Manchester City Soccer Team; MLS; New York City Football Club Soccer Team,york city; rucker park; major league; soccer ball; club behind,0.0,0.0,0.0,0.0,0.0,0.5751544,,0.0,0.0,0.0,0.0,0.0,0.0,city; manchester; york; new; team,0.0,0.0,0.0,0.0,0.0,0.5015423
31,Former top Vatican official calls on Pope to resign amid abuse crisis  BOSTON/DUBLIN - A former top Vatican official accused Pope Francis of having known of allegations of sex abuse by a prominent U.S...,abuse; pope francis; sex abuse; children; religion,accused pope; francis vowed; sex abuse; moral authority; faith since,0.2,0.2,0.20000000000000004,0.06666666666666667,0.16958010263680806,0.6868955,networks,0.0,0.0,0.0,0.0,0.0,0.25729629397392273,church; vigano; mccarrick; pope; francis,0.0,0.0,0.0,0.06857142857142857,0.0,0.6417298
32,Suspected foreign jihadis caught in Syria may face harsh justice in Iraq as home countries shun them  BAGHDAD - Their home countries don’t want them and holding trials in Syria isn’t an option. Now su...,syria; iraq; islamic state; courts; terrorism,jihadis caught; iraq will; people detained; found guilty; unfair trials,0.0,0.0,0.0,0.0,0.0,0.54016846,treatment; law; human,0.0,0.0,0.0,0.0,0.0,0.4129280149936676,iraq; syria; foreign; said; french,0.4,0.4,0.4000000000000001,0.4,0.5531464700081437,0.62052035
33,Imperial couple conduct first official duty outside Tokyo since ascension  NAGOYA - Emperor Naruhito and Empress Masako attended a national tree-planting ceremony in Aichi Prefecture on Sunday in thei...,emperor naruhito; empress masako; imperial family,outside tokyo; main festivals; tree; couple planted; masako attended,0.0,0.0,0.0,0.0,0.0,0.28466654,,0.0,0.0,0.0,0.0,0.0,0.0,emperor; national; first; since; festival,0.0,0.0,0.0,0.0,0.0,0.4334491
34,"A Religious Candidate Is Ascendant in Turkey After being shut out of the presidency last spring, Abdullah Gul, a religious man in the assiduously secular realm of Turkish politics, allowed himself a l...",Turkey; Islam; Elections; Gul Abdullah; Politics and Government,spring abdullah; mr heper; its consent; military forced; is still,0.0,0.0,0.0,0.0,0.0,0.3368994,politics; government; development; society; law,0.0,0.0,0.0,0.0,0.0,0.5967143177986145,turkey; mr; gul; party; said,0.2,0.2,0.20000000000000004,0.2,0.3391602052736161,0.59931576
35,Congress gives U.S. attorney general deadline to release full Mueller report  WASHINGTON - President Donald Trump and a senior U.S. House Democrat tightened the screws on U.S. Attorney General William...,congress; donald trump; william barr; robert mueller; u.s .; 2016 u.s. presidential election; russia probe,deadline to; general; barr refused; entire document; by fines,0.0,0.0,0.0,0.0,0.0,0.37417245,,0.0,0.0,0.0,0.0,0.0,0.0,barr; mueller; trump; report; committee,0.0,0.0,0.0,0.0,0.0,0.74535173
36,North Korea's Kim to meet Putin in Vladivostok on Thursday: Kremlin aide  MOSCOW - North Korean leader Kim Jong Un will meet Russian President Vladimir Putin in the eastern Russian city of Vladivostok...,north korea; kim jong un; russia; vladimir putin,pyongyang; korean leader; korea fell; will meet; peninsula,0.0,0.0,0.0,0.0,0.0,0.60069704,,0.0,0.0,0.0,0.0,0.0,0.0,north; kim; korea; ushakov; korean,0.0,0.0,0.0,0.0,0.0,0.77187955
37,"A Cube With a Twist: At 40, It Puzzles Anew JERSEY CITY — A Rubik’s cube can be twisted and twiddled in 43,252,003,274,489,856,000 different ways, and 43,252,003,274,489,855,999 of them are wrong. Tho...",Puzzle; Paul Hoffman; Liberty Science Center; Erno Rubik; Rubik's Cube; Robot; Games,cubes have; twisted; 003 274; he invented; rubik declined,0.0,0.0,0.0,0.0,0.0,0.506106,business; algorithms; science; machine; intelligence,0.0,0.0,0.0,0.0,0.0,0.5025538206100464,cube; said; rubik; mr; speed,0.0,0.0,0.0,0.0,0.0,0.5583548
38,M87*? Powehi? There are no rules on naming black holes  WASHINGTON - The supermassive black hole featured in a photographic first Wednesday is a beast with no name — at least not an official one. And ...,u.s .; space; astronomy,black holes; it m87; does stars; is beast; hawaiian name,0.0,0.0,0.0,0.0,0.0,0.41493902,society; culture,0.0,0.0,0.0,0.0,0.0,0.4220537841320038,said; black; iau; name; names,0.0,0.0,0.0,0.0,0.0,0.468549
39,"Product Information on the Canon HG10 Camcorder As camcorders become smaller and better, hard drives are replacing tape storage and high definition is getting more affordable. The Canon HG10, for $1,2...",Camcorders; Canon Inc,canon hg10; tape storage; hard drives; more affordable; has 24p,0.0,0.0,0.0,0.0,0.0,0.34931916,,0.0,0.0,0.0,0.0,0.0,0.0,video; quality; hard; canon; storage,0.0,0.0,0.0,0.0,0.0,0.40666348
40,"Of Course It’s Fresh: The Chef Grew It RINGOES, N.J. — It is near midday, and the parking lot of the Harvest Moon Inn is empty. Stanley Novak’s shift as chef is hours away, but he has been working alr...",Chefs; Restaurants; New Jersey; Gardens and Gardening; Local Food,chefs growsome; harvest moon; three gardens; moorestown he; with fresh,0.0,0.0,0.0,0.0,0.0,0.52010334,,0.0,0.0,0.0,0.0,0.0,0.0,said; restaurant; mr; garden; inn,0.0,0.0,0.0,0.0,0.0,0.7334671
41,Antti Raanta Delivers Shutout in Rangers Debut Antti Raanta was just looking to get a win in his Rangers debut. He did much more than that. Raanta stopped all 22 shots he faced to become the fourth go...,Antti Raanta; Rangers; San Jose Sharks; Ice hockey,raanta kicked; debut antti; three wins; killing five; season 10,0.0,0.0,0.0,0.0,0.0,0.39494014,training,0.0,0.0,0.0,0.0,0.0,0.26619940996170044,rangers; season; raanta; first; scored,0.2,0.25,0.22222222222222224,0.25,0.3903800499921017,0.5490098
42,"Nikkei average closes at 22,532 after falling on overnight Wall Street plunge  Stocks sank further on the Tokyo Stock Exchange on Friday, with investor sentiment dampened by a Wall Street plunge overn...",nikkei; stocks; topix,tokyo stock; slumped 126; komatsu sagged; end at; both indexes,0.0,0.0,0.0,0.0,0.0,0.43526277,data,0.0,0.0,0.0,0.0,0.0,0.3402613401412964,percent; said; points; thursday; stocks,0.2,0.3333333333333333,0.25,0.06666666666666667,0.18154179253735267,0.60820305
43,"Dollar falls below ¥111.30 in Tokyo trading  The dollar slipped through ¥111.30 in Tokyo trading Tuesday, hurt by lower Japanese share prices. At 5 p.m., the dollar stood at ¥111.26-27, down from ¥111...",currencies; forex,dollar falls; through 111; in tokyo; weak note; morning losses,0.0,0.0,0.0,0.0,0.0,0.29894948,policy,0.0,0.0,0.0,0.0,0.0,0.383403480052948,dollar; japanese; trading; said; federal,0.0,0.0,0.0,0.0,0.0,0.46504292
44,"Dueling Guitars in Gameland: MTV and Activision Face Off The holiday season is when all the action takes place in the video game business, and this year has already pitted Microsoft’s Xbox 360 against...",Guitars; MTV Networks; Computer and Video Games; Rock Music; Activision Incorporated,dueling guitars; hero games; holiday season; mtv bought; 360 and,0.0,0.0,0.0,0.0,0.0,0.46593294,business; programming; marketing; deep; networks,0.0,0.0,0.0,0.0,0.0,0.4151722490787506,guitar; hero; mtv; rock; band,0.0,0.0,0.0,0.0,0.0,0.6797225
45,"Louisville Turns Back Cincinnati’s Late Run and Rules the Big East The last time that Louisville and Cincinnati met in a league tournament title game, the Cardinals beat the Bearcats in the Metro Conf...",Basketball; University of Louisville; Basketball (College); University of Cincinnati; Big East Conference; Pitino Rick; College Athletics,game louisville; cardinals beat; pittsburgh exit; turns back; the metro,0.0,0.0,0.0,0.0,0.0,0.34454623,change,0.0,0.0,0.0,0.0,0.0,0.2800372540950775,big; east; league; game; louisville,0.0,0.0,0.0,0.0,0.0,0.55980885
46,"Tokyo stocks tumble on Trump's Mexico tariff threat  Stocks took a plunge on the Tokyo Stock Exchange on Friday, battered by the yen’s sharp rise against the dollar after U.S. President Donald Trump t...",stocks; tse; nikkei 225,tokyo stocks; dollar weakened; mexico tariff; mazda tumbling; friday battered,0.0,0.0,0.0,0.0,0.0,0.29436475,energy; government,0.0,0.0,0.0,0.0,0.0,0.4246648848056793,percent; mexico; trump; said; points,0.0,0.0,0.0,0.0,0.0,0.4627729
47,"In Asteroid’s Aftermath, a Sigh of Relief Using an eclectic mix of crowd-sourced video, information from Google Earth and data from nuclear test-ban sensors, scientists have gotten a much more accurat...",Asteroid; Russia; Research; University of Western Ontario; University of Antioquia; Meteors and Meteorites; Chelyabinsk Russia; Outer space,hiroshima bomb; when shock; earth crossing; the b612; donations since,0.0,0.0,0.0,0.0,0.0,0.36464715,energy; data; human; knowledge; technology,0.0,0.0,0.0,0.0,0.0,0.6175864338874817,meteor; said; earth; chelyabinsk; explosion,0.0,0.0,0.0,0.0,0.0,0.71937513
48,IMF cuts global growth outlook to lowest since financial crisis  WASHINGTON - The International Monetary Fund cut its outlook for global growth to the lowest since the financial crisis amid a bleaker ...,imf; economic growth; global economy,cuts global; imf managing; the weakest; world bank; fund upgraded,0.0,0.0,0.0,0.0,0.0,0.46922192,policy; government; finance; data,0.0,0.0,0.0,0.0,0.0,0.4103713631629944,growth; imf; percent; outlook; global,0.2,0.3333333333333333,0.25,0.16666666666666666,0.2960819109658652,0.67257005
49,"Japan Backs Off From Emissions Targets, Citing Fukushima Disaster TOKYO — Japan took a major step back on Friday from earlier pledges to slash its greenhouse gas emissions, saying a shutdown of its nu...",Japan; Greenhouse gas; Global Warming; Kyoto Protocol; Climate Change; Fukushima Daiichi Nuclear Disaster; UNFCCC,japan backs; major setback; gas emissions; shutting down; warsaw aimed,0.0,0.0,0.0,0.0,0.0,0.437787,energy; climate; renewable; government; climate change,0.2,0.14285714285714285,0.16666666666666666,0.028571428571428574,0.13120507751234178,0.6194621324539185,japan; energy; nuclear; emissions; would,0.2,0.14285714285714285,0.16666666666666666,0.14285714285714285,0.3391602052736161,0.6077511
50,"Meaty vending machine lets Parisians buy sausages, steaks 24/7  PARIS - With their beloved baguette already available 24 hours a day, it seems only logical that Parisians can now get the Bayonne ham a...",meat; vending machines; france,meat vending; paris seems; the cafes; the bread; carpaccio there,0.0,0.0,0.0,0.0,0.0,0.5442291,machine; business,0.0,0.0,0.0,0.0,0.0,0.4797182083129883,machine; shop; also; said; meat,0.2,0.3333333333333333,0.25,0.06666666666666667,0.18154179253735267,0.557472
51,"The Sun That Did Not Roar This is the height of the 11-year solar cycle, the so-called solar maximum. The face of the Sun should be pockmarked with sunspots, and cataclysmic explosions of X-rays and p...",Sun; NASA; Solar Dynamics Observatory; Space,slacker star; was spotless; storm could; whizzing; coronal mass,0.0,0.0,0.0,0.0,0.0,0.3083183,energy; data,0.0,0.0,0.0,0.0,0.0,0.3777613043785095,solar; sun; cycle; maximum; sunspots,0.2,0.25,0.22222222222222224,0.125,0.24630238874073,0.61871254
52,"As N.C.A.A. Issues Pile Up, a Call for a Commission After hearings on Capitol Hill this year to examine the N.C.A.A. and college sports, some lawmakers believe they have found the next step for the fe...",College Sports; Jim Moran; NCAA; US Politics; Labor Unions,commission on; be bipartisan; reform pushed; washington led; moran bill,0.0,0.0,0.0,0.0,0.0,0.4438838,education; government; medical,0.0,0.0,0.0,0.0,0.0,0.4604584276676178,moran; mr; said; commission; group,0.0,0.0,0.0,0.0,0.0,0.4502135
53,"Brazil's Sao Paulo Shimbun, largest overseas Japanese-language newspaper, closes after 72 years  SAO PAULO - The Sao Paulo Shimbun newspaper has printed its final edition, ending a 72-year run as a vi...",brazil; sao paulo shimbun; helen mizumoto; japan world war ii,shimbun largest; readership and; declining sales; 72 years; would never,0.0,0.0,0.0,0.0,0.0,0.29821616,community; culture,0.0,0.0,0.0,0.0,0.0,0.35263457894325256,japanese; paulo; sao; newspaper; said,0.0,0.0,0.0,0.03125,0.0,0.5006293
54,"Japan approves plan to send SDF officers to Sinai, on first non-U.N. peacekeeping mission  The government on Tuesday approved sending two Self-Defense Forces officers to a multinational peacekeeping f...",sinai; peacekeeping; egypt; israel; mfo; self defense forces,between israel; japan approves; allows sdf; first dispatch; send an,0.0,0.0,0.0,0.0,0.0,0.54229414,government; legislation; law,0.0,0.0,0.0,0.0,0.0,0.42690980434417725,peacekeeping; sdf; japan; defense; government,0.2,0.16666666666666666,0.1818181818181818,0.2638888888888889,0.3391602052736161,0.6364043
55,"Justice Ministry to accept online Japan visa renewals from July, but only by employers and agents  The Justice Ministry announced Tuesday that it will introduce an online application system for visa r...",justice ministry; immigration; foreign workers; expats; foreign trainees,japan visa; renewals for; new visas; accept online; extend foreign,0.0,0.0,0.0,0.0,0.0,0.42036754,government,0.0,0.0,0.0,0.0,0.0,0.5294381380081177,foreign; visa; ministry; online; system,0.0,0.0,0.0,0.0,0.0,0.5292258
