sample_id,text,true_keywords,keybert_keywords,keybert_precision,keybert_recall,keybert_f1,keybert_partial_match,keybert_map,keybert_ndcg,keybert_semantic_sim,tfidf_keywords,tfidf_precision,tfidf_recall,tfidf_f1,tfidf_partial_match,tfidf_map,tfidf_ndcg,tfidf_semantic_sim,textrank_keywords,textrank_precision,textrank_recall,textrank_f1,textrank_partial_match,textrank_map,textrank_ndcg,textrank_semantic_sim,hybrid_keywords,hybrid_precision,hybrid_recall,hybrid_f1,hybrid_partial_match,hybrid_map,hybrid_ndcg,hybrid_semantic_sim
15,Tokyo stocks turn lower amid vigilance over U S Mexico tariff talks Stocks fell back in slow trading on the Tokyo Stock Exchange Thursday as investors retreated to the sidelines to see developments as...,stocks; tse; nikkei 225,buying brokers said; in nonfarm payrolls; street extend gains; equities the tokyo,0.0,0.0,0,0.0,0.0,0.0,0.6228743,,0,0,0,0,0.0,0.0,0,negotiations; manufacturer; developments; expectations; automobiles,0.0,0.0,0.0,0.0,0.0,0.0,0.63295615,issues finished down; oriented issues drew; than expected growth; service firm recruit; prices they included,0.0,0.0,0,0.0,0.0,0.0,0.56387496
16,Indian City Overwhelmed by Air Pollution New Delhi Journal NEW DELHI When an acrid blanket of gray smog settled over India s capital last month environmentalists warned of health hazards India s Supre...,Air Pollution; Environment; New Delhi (India); Automobiles,people has struggled; city introduced host; smog has dissipated; minister has agreed; pollution has risen,0.0,0.0,0,0.0,0.0,0.0,0.575281,,0,0,0,0,0.0,0.0,0,environmentalists; transportation; environmental; roychowdhury; agricultural,0.0,0.0,0.0,0.4,0.0,0.0,0.6788626,people has struggled; ms roychowdhury said; has recommended more; city introduced host; policies that raised,0.0,0.0,0,0.0,0.0,0.0,0.5432952
17,British Agency Is Cleared of Illegal Data Gathering LONDON A parliamentary committee on Wednesday cleared Britain s electronic intelligence gathering agency of working with its American counterparts t...,Great Britain; Government Surveillance; NSA,said new legislation; further testament to; rifkind said adding; from other agencies; our inquiry has,0.0,0.0,0,0.0,0.0,0.0,0.57686293,,0,0,0,0,0.0,0.0,0,professionalism; communications; parliamentary; intelligence; surveillance,0.0,0.0,0.0,0.2,0.0,0.0,0.59348726,said new legislation; prism were unfounded; further testament to; gchq acted illegally; has announced plans,0.0,0.0,0,0.0,0.0,0.0,0.5762693
18,Emperor s abdication highlights the inconvenience behind the country s Imperial naming system For two weeks the media has been buzzing about the news that Emperor Akihito will abdicate before 2019 Ini...,abdication; emperor akihito; imperial family; royalty; emperor naruhito,scholar mentions how; scholar who believes; when queried during; story has attracted; make sure proposed,0.0,0.0,0,0.0,0.0,0.0,0.6868857,,0,0,0,0,0.0,0.0,0,inconvenience; international; syntactically; cryogenically; traditionally,0.0,0.0,0.0,0.0,0.0,0.0,0.70555407,scholar mentions how; scholar who believes; messing up calendars; churning out revised; will abdicate before,0.0,0.0,0,0.0,0.0,0.0,0.696146
19,WaMu s Lesson for Private Equity WaMu s Lesson For Private Equity The new era of private equity is proving treacherous for some old hands The collapse of the nation s largest savings and loan Washingt...,Private Equity; Credit; Washington Mutual Inc; TPG Capital; Subprime Mortgage Crisis,their investors paid; lender demise handed; advantages over wamu; capital tpg received; major private equity,0.0,0.0,0,0.2,0.0,0.0,0.63779986,,0,0,0,0,0.0,0.0,0,telecommunications; communications; entertainment; shareholders; collectively,0.0,0.0,0.0,0.0,0.0,0.0,0.6581552,their investors paid; investors paid after; lender demise handed; corsair partners has; advantages over wamu,0.0,0.0,0,0.0,0.0,0.0,0.5860549
20,Abe orders Japanese ministries to prepare response to asset seizures in South Korea following ruling on forced labor case Prime Minister Shinzo Abe has directed ministries to look into countermeasures...,south korea; shinzo abe; nippon steel; history; wartime labor,forced labor during; formally end their; response to asset,0.0,0.0,0,0.0,0.0,0.0,0.6696803,,0,0,0,0,0.0,0.0,0,countermeasures; constitutional; administration; international; compensation,0.0,0.0,0.0,0.0,0.0,0.0,0.70020753,islands off hokkaido; the government hopes; country according to; putin has expressed; forced labor during,0.0,0.0,0,0.0,0.0,0.0,0.6295134
21,If It s N B A Players vs Owners What About the Fans The N B A got younger this week what remains to been seen is whether the league got any wiser On Thursday dozens of N B A players met in New York wi...,Labor and Jobs; National Basketball Assn; Basketball; Hunter Billy; Stern David; Lockouts; Organized Labor,young players gushed; received its annual; well paid athletes; artest the lakers; dozens of players,0.0,0.0,0,0.0,0.0,0.0,0.6183729,,0,0,0,0,0.0,0.0,0,unpredictable; negotiations; professional; perceptively; commissioner,0.0,0.0,0.0,0.0,0.0,0.0,0.6662675,young players gushed; fans lose themselves; in dispute primarily; primarily over money; when labor disputes,0.0,0.0,0,0.0,0.0,0.0,0.60665894
22,Sheathing Planes in a New Skin to Repel Frost and Ice De icing aircraft with chemicals is expensive environmentally unfriendly and time consuming as stranded passengers during winter blizzards may be ...,Ice; Nanotechnology; Science and Technology,cause serious damage; way typically called; attracting he said; varanasi the study; wind turbines tend,0.0,0.0,0,0.0,0.0,0.0,0.5370833,,0,0,0,0,0.0,0.0,0,environmentally; applications; hydrophobic; researchers; performance,0.0,0.0,0.0,0.0,0.0,0.0,0.63004625,cause serious damage; way typically called; durable and scalable; better controlled by; believes that frost,0.0,0.0,0,0.0,0.0,0.0,0.5122682
23,Empress emerita told to take it easy after doctors diagnose heart valve abnormalities Empress Emerita Michiko has been diagnosed with heart valve abnormalities the Imperial Household Agency said Monda...,heart; abdication; royalty; emperor akihito; imperial family; empress michiko,scheduled the agency; valves that normally; tuesday as scheduled; sufficiently but her; also been diagnosed,0.0,0.0,0,0.0,0.0,0.0,0.64499724,,0,0,0,0,0.0,0.0,0,atrioventricular; abnormalities; sufficiently; difficulties; insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.72564185,diagnosed with heart; scheduled the agency; valves that normally; tuesday as scheduled; the emperor emeritus,0.0,0.0,0,0.2,0.0,0.0,0.6803557
24,At the S E C a Question of Home Court Edge SINCE Mary Jo White settled in as chairwoman of the Securities and Exchange Commission lots of tough talk has emanated from the agency about enforcement prio...,SEC; Judiciary; Dodd Frank; Andrew J Ceresney,reflects the agenda; because the judges; decided the agency; examiners he said; involved in these,0.0,0.0,0,0.0,0.0,0.0,0.5555925,,0,0,0,0,0.0,0.0,0,administrative; administration; transportation; constitutional; investigation,0.0,0.0,0.0,0.0,0.0,0.0,0.63877267,say raises questions; reflects the agenda; cohen lawyers asked; comes to penalizing; changes mr ceresney,0.0,0.0,0,0.0,0.0,0.0,0.6024133
25,Teeth of Australopithecines Hold Clues to Social Structure Researchers studying the diet of human ancestors who lived two million years ago in southern Africa have unexpectedly come across a crucial c...,Research; Evolution; Teeth and Dentistry; Monkeys and Apes; Science and Technology,the evidence emerged; teeth were completed; obliges the females; then allowed males,0.0,0.0,0,0.0,0.0,0.0,0.65126586,,0,0,0,0,0.0,0.0,0,australopithecines; australopithecine; reconstructing; territoriality; primatologist,0.0,0.0,0.0,0.0,0.0,0.0,0.6555351,the evidence emerged; teeth were completed; developing pair bond; obliges the females; because they ranged,0.0,0.0,0,0.0,0.0,0.0,0.62791085
26,Scientists warn of unprecedented changes on Japan s marine life as amount of CO2 increases LONDON Japan s marine life could see unprecedented changes if carbon dioxide emissions keep increasing a team...,marine life; co2 emissions; ocean; corals; environment,which reduces levels; more commonly known; tsukuba said there; reduced the ocean; changes on japan,0.0,0.0,0,0.2,0.0,0.0,0.623304,,0,0,0,0,0.0,0.0,0,unprecedented; preindustrial; acidification; biodiversity; universities,0.0,0.0,0.0,0.0,0.0,0.0,0.7346082,which reduces levels; find tropical corals; major degradation of; barren and dominated; various team members,0.0,0.0,0,0.2,0.0,0.0,0.67776906
27,Chilean officials say man died while handling bomb SANTIAGO A man handling a bomb died when the device exploded in downtown Santiago on Thursday officials said adding to a string of blasts in Chile s ...,chile; bomb; anarchist; fatality; michelle bachelet; terrorist,in downtown santiago; four bombs including; posted online photos; explosion comes two; after three alleged,0.0,0.0,0,0.2,0.0,0.0,0.6385486,,0,0,0,0,0.0,0.0,0,circumstance; manipulating; anarchists; prosecutor; penailillo,0.0,0.0,0.0,0.2,0.018518518518518517,0.0,0.8076364,in downtown santiago; penailillo said that; four bombs including; posted online photos; santiago on thursday,0.0,0.0,0,0.2,0.0,0.0,0.6572623
28,Japan to ease language requirements for foreign nursing care trainees amid sluggish growth in applications The central government plans to ease language requirements for foreign technical interns in t...,nursing care; jobs; elderly; immigration; nihongo; foreign trainees,language the sources; foreign nursing care; japan introduced the; two additional years; lawyers and teachers,0.0,0.0,0,0.2,0.0,0.0,0.7052973,,0,0,0,0,0.0,0.0,0,requirements; professional; transferring; continuously; applications,0.0,0.0,0.0,0.2,0.0,0.0,0.68210393,language the sources; foreign nursing care; japan introduced the; two additional years; lawyers and teachers,0.0,0.0,0,0.2,0.0,0.0,0.7052973
29,Commission Gives Insight on Expected Health Increases WASHINGTON State regulators are looking for ways to protect consumers against increases in health insurance rates that they expect to occur next y...,"Health Insurance; Obamacare,Affordable Care Act; National Assn of Insurance Commissioners; US states",reduce costs however; already tax premiums; solvency of insurers; conditions she said,0.0,0.0,0,0.0,0.0,0.0,0.58734596,,0,0,0,0,0.0,0.0,0,administration; commissioners; acknowledged; establishing; supplemental,0.0,0.0,0.0,0.2,0.0,0.0,0.59706485,reduce costs however; already tax premiums; solvency of insurers; federal law insurers; reducing the choices,0.0,0.0,0,0.0,0.0,0.0,0.5794593
30,City Manchester in the City N Y What do Brooklyn Bridge Park the High Line Yankee Stadium and Rucker Park have in common besides being part of the fabric of New York City On Monday the day before Orla...,Soccer; Manchester City Soccer Team; MLS; New York City Football Club Soccer Team,silva and goalkeeper; north american tour; movement was filmed; before orlando city; city is partnership,0.0,0.0,0,0.0,0.0,0.0,0.5565349,,0,0,0,0,0.0,0.0,0,accommodations; announcement; partnership; manchester; goalkeeper,0.0,0.0,0.0,0.2,0.0,0.0,0.6744379,silva and goalkeeper; soccer ball tethered; north american tour; movement was filmed; line yankee stadium,0.0,0.0,0,0.2,0.0,0.0,0.59763086
31,Former top Vatican official calls on Pope to resign amid abuse crisis BOSTON DUBLIN A former top Vatican official accused Pope Francis of having known of allegations of sex abuse by a prominent U S ca...,abuse; pope francis; sex abuse; children; religion,accused pope francis; media outlets during; had sexually abused; bishops who covered; were first reported,0.0,0.0,0,0.4,0.0,0.0,0.68732315,,0,0,0,0,0.0,0.0,0,conservative; undercutting; exploitation; allegations; resignation,0.0,0.0,0.0,0.0,0.0,0.0,0.7848176,his fellow cardinals; highly charged visit; accused pope francis; once deeply catholic; media outlets during,0.0,0.0,0,0.2,0.0,0.0,0.69036645
32,Suspected foreign jihadis caught in Syria may face harsh justice in Iraq as home countries shun them BAGHDAD Their home countries don t want them and holding trials in Syria isn t an option Now suspec...,syria; iraq; islamic state; courts; terrorism,captives were handed; their home countries; those detained asked; service they include; hundreds of jihadis,0.0,0.0,0,0.0,0.0,0.0,0.6344438,,0,0,0,0,0.0,0.0,0,representatives; responsibility; international; repatriations; announcement,0.0,0.0,0.0,0.0,0.0,0.0,0.69165933,captives were handed; their home countries; those detained asked; attended the baghdad; its reluctant allies,0.0,0.0,0,0.0,0.0,0.0,0.6806466
33,Imperial couple conduct first official duty outside Tokyo since ascension NAGOYA Emperor Naruhito and Empress Masako attended a national tree planting ceremony in Aichi Prefecture on Sunday in their f...,emperor naruhito; empress masako; imperial family,the emperor ascended; discontinued in 2009; ascended the throne; outside tokyo since; city of owariasahi,0.0,0.0,0,0.0,0.0,0.0,0.6617718,,0,0,0,0,0.0,0.0,0,traditionally; discontinued; cryptomeria; owariasahi; prefecture,0.0,0.0,0.0,0.0,0.0,0.0,0.7187654,the emperor ascended; planting ceremony in; discontinued in 2009; couple conduct first; emeritus akihito who,0.0,0.0,0,0.0,0.0,0.0,0.7375885
34,A Religious Candidate Is Ascendant in Turkey After being shut out of the presidency last spring Abdullah Gul a religious man in the assiduously secular realm of Turkish politics allowed himself a litt...,Turkey; Islam; Elections; Gul Abdullah; Politics and Government,were introduced half; parliament who works; soft drinks because; his candidacy after; hoping to persuade,0.0,0.0,0,0.0,0.0,0.0,0.5970923,,0,0,0,0,0.0,0.0,0,accomplishments; internalization; representation; systematically; overwhelmingly,0.0,0.0,0.0,0.0,0.0,0.0,0.6460328,were introduced half; revolution he argues; parliament who works; turkish state needed; democracy that makes,0.0,0.0,0,0.0,0.0,0.0,0.6177576
35,Congress gives U S attorney general deadline to release full Mueller report WASHINGTON President Donald Trump and a senior U S House Democrat tightened the screws on U S Attorney General William Barr ...,congress; donald trump; william barr; robert mueller; u.s .; 2016 u.s. presidential election; russia probe,let mueller testify; to congress mueller; trump had committed; mueller report said; wrote the justice,0.0,0.0,0,0.2,0.0,0.0,0.77095586,,0,0,0,0,0.0,0.0,0,misrepresenting; representatives; investigations; investigation; misstatements,0.0,0.0,0.0,0.0,0.0,0.0,0.7053137,offered to negotiate; release full mueller; tightened the screws; its baseless refusal; took heavy criticism,0.0,0.0,0,0.0,0.0,0.0,0.71033007
36,North Korea s Kim to meet Putin in Vladivostok on Thursday Kremlin aide MOSCOW North Korean leader Kim Jong Un will meet Russian President Vladimir Putin in the eastern Russian city of Vladivostok on ...,north korea; kim jong un; russia; vladimir putin,leaders will discuss; the korean peninsula; because of sanctions; process ushakov said; reporters on tuesday,0.0,0.0,0,0.0,0.0,0.0,0.6769292,,0,0,0,0,0.0,0.0,0,vladivostok; maintaining; interested; diplomatic; sanctions,0.0,0.0,0.0,0.0,0.0,0.0,0.72554404,leaders will discuss; the korean peninsula; because of sanctions; putin in vladivostok; of sanctions against,0.0,0.0,0,0.0,0.0,0.0,0.7066965
37,A Cube With a Twist At 40 It Puzzles Anew JERSEY CITY A Rubik s cube can be twisted and twiddled in 43 252 003 274 489 856 000 different ways and 43 252 003 274 489 855 999 of them are wrong Those tru...,Puzzle; Paul Hoffman; Liberty Science Center; Erno Rubik; Rubik's Cube; Robot; Games,its popularity faded; cubing also involved; made some intriguing; told two journalists; the professor known,0.0,0.0,0,0.0,0.0,0.0,0.5650583,,0,0,0,0,0.0,0.0,0,ingeniousness; traditionally; manufacturers; unscrambling; intellectual,0.0,0.0,0.0,0.0,0.0,0.0,0.6078812,its popularity faded; cubing also involved; made some intriguing; also involved muscle; anthony brooks speed,0.0,0.0,0,0.0,0.0,0.0,0.57552725
38,M87 Powehi There are no rules on naming black holes WASHINGTON The supermassive black hole featured in a photographic first Wednesday is a beast with no name at least not an official one And what happ...,u.s .; space; astronomy,larry kimura stepped; telescopes the first; goddess of fertility; three proposed names; somehow got demoted,0.0,0.0,0,0.0,0.0,0.0,0.63536334,,0,0,0,0,0.0,0.0,0,constellations; international; astronomical; ultramassive; planetesimal,0.0,0.0,0.0,0.0,0.0,0.0,0.83019984,larry kimura stepped; telescopes the first; goddess of fertility; three proposed names; the planet committee,0.0,0.0,0,0.0,0.0,0.0,0.64858305
39,Product Information on the Canon HG10 Camcorder As camcorders become smaller and better hard drives are replacing tape storage and high definition is getting more affordable The Canon HG10 for 1 299 w...,Camcorders; Canon Inc,affordable the canon; drives are replacing; coming avchd format; internal hard drive; which gives roughly,0.0,0.0,0,0.0,0.0,0.0,0.6232753,,0,0,0,0,0.0,0.0,0,magnification; stabilization; photography; information; camcorders,0.2,0.5,0.28571428571428575,0.2,0.1,0.23719771276929622,0.6798207,affordable the canon; as camcorders become; of budding hollywood; side three megapixel; drives are replacing,0.0,0.0,0,0.2,0.0,0.0,0.6651152
40,Of Course It s Fresh The Chef Grew It RINGOES N J It is near midday and the parking lot of the Harvest Moon Inn is empty Stanley Novak s shift as chef is hours away but he has been working already cut...,Chefs; Restaurants; New Jersey; Gardens and Gardening; Local Food,inn in bernardsville; theresa opened their; tasting them cutting; raised beds stuffed; just minutes before,0.0,0.0,0,0.0,0.0,0.0,0.6188127,,0,0,0,0,0.0,0.0,0,pickedrestaurants; baciorestaurant; harvestmooninn; bernardsville; cinnaminson,0.0,0.0,0.0,0.2,0.0,0.0,0.6545153,inn in bernardsville; theresa opened their; whose chefs growsome; tasting them cutting; raised beds stuffed,0.0,0.0,0,0.2,0.0,0.0,0.64392996
41,Antti Raanta Delivers Shutout in Rangers Debut Antti Raanta was just looking to get a win in his Rangers debut He did much more than that Raanta stopped all 22 shots he faced to become the fourth goal...,Antti Raanta; Rangers; San Jose Sharks; Ice hockey,rangers were killing; shutouts two rangers; winless streak after; kevan miller plachta; the scoring coyotes,0.0,0.0,0,0.4,0.0,0.0,0.70452166,,0,0,0,0,0.0,0.0,0,neighborhood; springfield; significant; performance; goaltenders,0.0,0.0,0.0,0.0,0.0,0.0,0.6812755,rangers were killing; shutouts two rangers; winless streak after; kevan miller plachta; in franchise history,0.0,0.0,0,0.4,0.0,0.0,0.7000629
42,Nikkei average closes at 22 532 after falling on overnight Wall Street plunge Stocks sank further on the Tokyo Stock Exchange on Friday with investor sentiment dampened by a Wall Street plunge overnig...,nikkei; stocks; topix,initial selling said; weaker than expected; friday session after; morning eased later; the market downside,0.0,0.0,0,0.0,0.0,0.0,0.576454,,0,0,0,0,0.0,0.0,0,pharmaceutical; construction; consolidated; caterpillar; outnumbered,0.0,0.0,0.0,0.0,0.0,0.0,0.6861478,initial selling said; weaker than expected; yamada denki plunged; however both indexes; market gauge dropped,0.0,0.0,0,0.0,0.0,0.0,0.6252783
43,Dollar falls below 111 30 in Tokyo trading The dollar slipped through 111 30 in Tokyo trading Tuesday hurt by lower Japanese share prices At 5 p m the dollar stood at 111 26 27 down from 111 48 48 at ...,currencies; forex,said currency broker; toward noon although; supported by buying; tuesday the broker; dollar falls below,0.0,0.0,0,0.0,0.0,0.0,0.5912528,,0,0,0,0,0.0,0.0,0,projections; temporarily; rekindled; committee; quarterly,0.0,0.0,0.0,0.0,0.0,0.0,0.67055875,currency broker said; said currency broker; dollar dropped below; the dollar investors; toward noon although,0.0,0.0,0,0.0,0.0,0.0,0.6097656
