sample_id,text,ecosystem,true_keywords,keybert_keywords,keybert_precision,keybert_recall,keybert_f1,keybert_partial_match,keybert_semantic_sim,keybert_ndcg,tfidf_keywords,tfidf_precision,tfidf_recall,tfidf_f1,tfidf_partial_match,tfidf_semantic_sim,tfidf_ndcg,textrank_keywords,textrank_precision,textrank_recall,textrank_f1,textrank_partial_match,textrank_semantic_sim,textrank_ndcg,hybrid_keywords,hybrid_precision,hybrid_recall,hybrid_f1,hybrid_partial_match,hybrid_semantic_sim,hybrid_ndcg
18,Validate files with ESLint,npm,gruntplugin; lint; eslint; jshint; jslint; ecmascript; esprima; javascript; code quality,eslint; validate; files,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.3333333333333333,1.0,0.2807721888661444,validate; eslint; files,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.3333333333333333,1.0,0.2807721888661444,files; validate; eslint,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.3333333333333333,1.0,0.17714752793103522,eslint; validate; files,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.3333333333333333,1.0,0.2807721888661444
19, Apache Tika is a toolkit for detecting and extracting metadata and structured text content from various documents using existing parser libraries. ,maven,content; extraction; java; metadata; tika,parser; metadata; tika; extracting; toolkit,0.4,0.4,0.4000000000000001,0.4,0.9481167793273926,0.45791971679717963,using; text; toolkit; various; tika,0.2,0.2,0.20000000000000004,0.2,0.8130174279212952,0.12092199990360372,toolkit; existing; using; detecting; extracting,0.0,0.0,0.0,0.0,0.8443503379821777,0.0,toolkit; metadata; extracting; tika; text,0.4,0.4,0.4000000000000001,0.4,0.8675963282585144,0.4211582832992166
20,Dream Utility Class library (NetCore 版),nuget,asp.net; dream; utility,netcore; dream; class,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.000000238418579,0.38009376671593426,netcore; class; dream,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.000000238418579,0.23981246656813146,class; dream; netcore,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.000000238418579,0.38009376671593426,netcore; dream; class,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.000000238418579,0.38009376671593426
21,A SQL Compact database module for the Nyan data service stack,nuget,orm; dapper; stack; static; rest; api; framework; zeromq,database; nyan; sql; data; service,0.0,0.0,0.0,0.0,0.0,0.0,sql; stack; service; nyan; database,0.2,0.125,0.15384615384615385,0.2,1.0,0.2807721888661444,database; data; nyan; compact; service,0.0,0.0,0.0,0.0,0.0,0.0,database; nyan; sql; service; data,0.0,0.0,0.0,0.0,0.0,0.0
22,webpack + gulp 实现react web框架的搭建,npm,speed-react; efe-speed-react; web-builder; web-building; web-tools,webpack; gulp; 实现react; web框架的搭建,0.0,0.0,0.0,0.0,0.0,0.0,webpack; gulp,0.0,0.0,0.0,0.0,0.0,0.0,webpack; gulp,0.0,0.0,0.0,0.0,0.0,0.0,webpack; gulp; 实现react; web框架的搭建,0.0,0.0,0.0,0.0,0.0,0.0
23,Retext implementation of the Porter Stemmer,bower,porter; stemmer; retext,stemmer; retext; porter,1.0,1.0,1.0,1.0,0.9999998211860657,1.0,retext; stemmer; porter,1.0,1.0,1.0,1.0,0.9999998211860657,1.0,porter; retext; stemmer,1.0,1.0,1.0,1.0,0.9999998211860657,1.0,stemmer; retext; porter,1.0,1.0,1.0,1.0,0.9999998211860657,1.0
24,Dbrain documents classification & recognition engine,nuget,dbrain; uipath; activity; ocr,classification; dbrain; recognition; documents; engine,0.2,0.25,0.22222222222222224,0.2,0.9999997615814209,0.31939394323979897,recognition; engine; classification; dbrain; documents,0.2,0.25,0.22222222222222224,0.2,0.9999997615814209,0.15969697161989949,classification; documents; recognition; dbrain; engine,0.2,0.25,0.22222222222222224,0.2,0.9999997615814209,0.15969697161989949,classification; recognition; dbrain; documents; engine,0.2,0.25,0.22222222222222224,0.2,0.9999997615814209,0.20151514190050246
25,Utilities to work with Scala/Java code with py4j,pypi,apache-spark; python; scala; team-platform,scala; java; utilities; work,0.25,0.25,0.25,0.25,1.0,0.31939394323979897,java,0.0,0.0,0.0,0.0,0.0,0.0,work; scala; utilities; java,0.25,0.25,0.25,0.25,1.0,0.31939394323979897,java; scala; utilities; work,0.25,0.25,0.25,0.25,1.0,0.31939394323979897
26,A library of common classes used for developing SharePoint addins.,npm,sharepoint; common; library; jsom; addins; sp-com,addins; classes; sharepoint; developing; common,0.6,0.5,0.5454545454545454,0.6,1.0000001192092896,0.5788417167007833,,0.0,0.0,0.0,0.0,0.0,0.0,used; developing; classes; sharepoint; common,0.4,0.3333333333333333,0.3636363636363636,0.4,1.0000001192092896,0.26130809433667596,classes; addins; sharepoint; developing; used,0.4,0.3333333333333333,0.3636363636363636,0.4,1.0,0.45791971679717963
27,Export to high-quality GIFs using Gifski,npm,kap-plugin; gifski; gif; export; high-quality; quality; animated-gif; kap; screen-recorder,gifski; gifs; export; quality; high,0.6,0.3333333333333333,0.42857142857142855,1.0,0.9605060815811157,0.799152905615126,using,0.0,0.0,0.0,0.0,0.0,0.0,quality; gifs; high; using; export,0.4,0.2222222222222222,0.2857142857142857,0.8,0.9473414421081543,0.630654047168338,using; gifs; gifski; quality; export,0.6,0.3333333333333333,0.42857142857142855,0.8,0.960506021976471,0.5788417167007833
28,Implements the ran2 function from FORTRAN Numerical Recipes,pypi,random; number; generator; numerical recipes; rng,fortran; numerical; function; implements; recipes,0.0,0.0,0.0,0.4,0.7386118769645691,0.20084709438487408,function,0.0,0.0,0.0,0.0,0.0,0.0,fortran; function; numerical; implements; recipes,0.0,0.0,0.0,0.4,0.7386118769645691,0.14903476391731948,function; fortran; numerical; implements; recipes,0.0,0.0,0.0,0.4,0.7386118769645691,0.14903476391731948
29,"The official list of browsers supported by Canvas LMS & the Canvas product ecosystem. To use this, just add `""browserslist"": [""extends @instructure/browserslist-config-canvas-lms""]` to your package.js...",npm,canvas-lms; gerrit-mirror; instructure,canvas; browserslist; browsers; lms; supported,0.0,0.0,0.0,0.4,0.6356132626533508,0.2850703250369507,json,0.0,0.0,0.0,0.0,0.0,0.0,canvas; browserslist; lms; browsers; supported,0.0,0.0,0.0,0.4,0.6356132626533508,0.30995311664203284,json; canvas; browserslist; browsers; lms,0.0,0.0,0.0,0.4,0.6356132626533508,0.271895620955152
30,Node that send email using SendGrid platform,npm,kumologica; platform; sendgrid,sendgrid; send; email; node; platform,0.4,0.6666666666666666,0.5,0.6,0.9999998807907104,0.7338381252682711,using; node,0.0,0.0,0.0,0.0,0.0,0.0,email; using; send; sendgrid; node,0.2,0.3333333333333333,0.25,0.4,0.9999998807907104,0.30995311664203284,using; node; sendgrid; send; email,0.2,0.3333333333333333,0.25,0.4,0.9999998807907104,0.334835908247115
31,Represents a version number that can be parsed and compared.,pypi,python; version; verr,number; represents; parsed; compared,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,number; parsed; represents; compared,0.0,0.0,0.0,0.0,0.0,0.0,number; represents; parsed; compared,0.0,0.0,0.0,0.0,0.0,0.0
32,Tiny hoc for container.,npm,react; store; model; state; state machine; flux,container; hoc; tiny,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,hoc; tiny; container,0.0,0.0,0.0,0.0,0.0,0.0,container; hoc; tiny,0.0,0.0,0.0,0.0,0.0,0.0
33,"If you're like us, you like to build applications without having to do the same things over and over again and dislike copy/pasting code and change a couple of words every time you need feature X. The...",packagist,generator; cms; kunstmaan,adminlists; generate; copy; new; way,0.0,0.0,0.0,0.2,0.7065488696098328,0.0,see; new,0.0,0.0,0.0,0.0,0.0,0.0,time; things; without; dislike; wait,0.0,0.0,0.0,0.0,0.0,0.0,applications; bundles; adminlists; copy; new,0.0,0.0,0.0,0.0,0.0,0.0
34,Early Bound Generator and Attribute Manager.,nuget,xrmtoolbox; plugins; xrm,attribute; generator; bound; manager; early,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,generator; bound; attribute; early; manager,0.0,0.0,0.0,0.0,0.0,0.0,attribute; generator; bound; manager; early,0.0,0.0,0.0,0.0,0.0,0.0
35,AspectJ compiler support for mill,maven,aspectj; aspectj-plugin; mill; mill-plugin,aspectj; compiler,0.5,0.25,0.3333333333333333,0.5,0.9999998807907104,0.31939394323979897,,0.0,0.0,0.0,0.0,0.0,0.0,compiler; aspectj; mill,0.6666666666666666,0.5,0.5714285714285715,0.6666666666666666,0.9999999403953552,0.5209090851403014,aspectj; compiler; mill,0.6666666666666666,0.5,0.5714285714285715,0.6666666666666666,0.9999999403953552,0.5209090851403014
36,A Serverless plugin to implement blue/green deployment of Lambda functions,npm,aws; lambda; serverless; canary; blue; green; gradual; deployments,serverless; lambda; green; deployment; blue,0.8,0.5,0.6153846153846154,1.0,0.9862271547317505,0.9298069527834639,functions,0.0,0.0,0.0,0.0,0.0,0.0,implement; deployment; blue; green; plugin,0.4,0.25,0.3076923076923077,0.6,0.9770452380180359,0.45791971679717963,functions; serverless; lambda; green; deployment,0.6,0.375,0.4615384615384615,0.8,0.982783854007721,0.6587668111820537
37,Modern and minimalist React UI library.,npm,conflux; conflux ui; component; components; react components; react ui,react; ui; minimalist; modern,0.0,0.0,0.0,0.5,0.8282254934310913,0.2807721888661444,react,0.0,0.0,0.0,1.0,0.8282253742218018,0.1403860944330722,minimalist; react; modern; ui,0.0,0.0,0.0,0.5,0.8282254934310913,0.2105791416496083,react; minimalist; ui; modern,0.0,0.0,0.0,0.5,0.8282254934310913,0.22895985839858982
38,coreutils rewritten in Rust,alpine,busybox; command-line-tool; coreutils; cross-platform; gnu-coreutils; rust,coreutils; rust; rewritten,0.6666666666666666,0.3333333333333333,0.4444444444444444,0.6666666666666666,1.0,0.5615443777322888,,0.0,0.0,0.0,0.0,0.0,0.0,rewritten; coreutils; rust,0.6666666666666666,0.3333333333333333,0.4444444444444444,0.6666666666666666,1.0,0.45791971679717963,coreutils; rust; rewritten,0.6666666666666666,0.3333333333333333,0.4444444444444444,0.6666666666666666,1.0,0.5615443777322888
39,Utility to encode and decode italian TIN (Codice Fiscale).,npm,tin; italian; codice; fiscale; cf,fiscale; encode; decode; tin; italian,0.6,0.6,0.6,0.6,1.0,0.5420802832028203,,0.0,0.0,0.0,0.0,0.0,0.0,italian; tin; decode; codice; encode,0.6,0.6,0.6,0.6,0.9999999403953552,0.7019304721653611,fiscale; encode; decode; tin; italian,0.6,0.6,0.6,0.6,1.0,0.5420802832028203
40,Re-Add the deleted Class Zend_Pdf_Cell,packagist,zend; pdf; zf1; framweork; zend_pdf_cell; cell,class; deleted; add,0.0,0.0,0.0,0.0,0.0,0.0,class,0.0,0.0,0.0,0.0,0.0,0.0,deleted; add; class,0.0,0.0,0.0,0.0,0.0,0.0,class; deleted; add,0.0,0.0,0.0,0.0,0.0,0.0
41,A brute-force protection middleware for express routes that rate limits incoming requests,npm,brute; force; bruteforce; attack; fibonacci; rate; limit; security,express; routes; middleware; requests; brute,0.2,0.125,0.15384615384615385,0.2,1.0000001192092896,0.12092199990360372,,0.0,0.0,0.0,0.0,0.0,0.0,limits; protection; middleware; rate; express,0.2,0.125,0.15384615384615385,0.4,0.8700587153434753,0.2807721888661444,express; middleware; routes; protection; limits,0.0,0.0,0.0,0.2,0.8050880432128906,0.06046099995180186
42,A generator for dynamically creating classes from Neat 2.0,npm,columns; grid; layout; media; media-queries; neat; sass; scss; semantic,generator; classes; dynamically; creating; neat,0.2,0.1111111111111111,0.14285714285714285,0.2,1.000000238418579,0.12092199990360372,,0.0,0.0,0.0,0.0,0.0,0.0,creating; dynamically; classes; generator; neat,0.2,0.1111111111111111,0.14285714285714285,0.2,1.000000238418579,0.12092199990360372,generator; classes; dynamically; creating; neat,0.2,0.1111111111111111,0.14285714285714285,0.2,1.000000238418579,0.12092199990360372
43,YaneuraOu shogi engine (NNUE K-P),npm,shogi; emscripten; webassembly,yaneuraou; shogi; engine; nnue,0.25,0.3333333333333333,0.28571428571428575,0.25,0.9999998211860657,0.38009376671593426,engine,0.0,0.0,0.0,0.0,0.0,0.0,shogi; engine; yaneuraou; nnue,0.25,0.3333333333333333,0.28571428571428575,0.25,0.9999998211860657,0.38009376671593426,engine; yaneuraou; shogi; nnue,0.25,0.3333333333333333,0.28571428571428575,0.25,0.9999998211860657,0.23981246656813146
44,A semverse usage example,npm,semverse; nodejs; space; simulation,semverse; example; usage,0.3333333333333333,0.25,0.28571428571428575,0.3333333333333333,1.0000004768371582,0.31939394323979897,,0.0,0.0,0.0,0.0,0.0,0.0,usage; semverse; example,0.3333333333333333,0.25,0.28571428571428575,0.3333333333333333,1.0000004768371582,0.31939394323979897,semverse; example; usage,0.3333333333333333,0.25,0.28571428571428575,0.3333333333333333,1.0000004768371582,0.31939394323979897
45,A library to create type safe constants for your application.,nuget,appconstant; constant; typesafe; typesafeconstant,constants; type; create; safe,0.0,0.0,0.0,0.75,0.8095335960388184,0.3992424290497487,,0.0,0.0,0.0,0.0,0.0,0.0,type; safe; create; constants,0.0,0.0,0.0,0.75,0.8095335960388184,0.3992424290497487,type; constants; create; safe,0.0,0.0,0.0,0.75,0.8095335960388184,0.3992424290497487
46,Run commands with a nice output display,npm,command; terminal; run; pretty; output; coffee; kraken; coffeekraken,commands; display; output; run; nice,0.4,0.25,0.3076923076923077,0.6,0.9649916291236877,0.45791971679717963,,0.0,0.0,0.0,0.0,0.0,0.0,nice; commands; output; run; display,0.4,0.25,0.3076923076923077,0.6,0.9649916291236877,0.45791971679717963,commands; display; output; nice; run,0.4,0.25,0.3076923076923077,0.6,0.964991569519043,0.4384556222677112
47,Operational signals microservice in Node.js,npm,iquipsys; positron; signal; microservice,microservice; signals; node; operational; js,0.2,0.25,0.22222222222222224,0.4,0.9588122367858887,0.47909091485969846,js; node,0.0,0.0,0.0,0.0,0.0,0.0,microservice; signals; node; operational; js,0.2,0.25,0.22222222222222224,0.4,0.9588122367858887,0.47909091485969846,node; js; microservice; signals; operational,0.2,0.25,0.22222222222222224,0.4,0.9588122367858887,0.2813636277104522
48,"Aih: Golang CLI of Google Bard, Bing Chat, ChatGPT Web and API in the terminal command line.",go,ai; all-in-one; binary; bing-chat-cli; chatgpt-cli; cli; client; command-line; easy-to-use; golang,golang; chatgpt; terminal; bard; bing,0.4,0.15384615384615385,0.2222222222222222,1.0,0.8304649591445923,0.7289598583985899,,0.0,0.0,0.0,0.0,0.0,0.0,terminal; google; web; bard; chatgpt,0.2,0.07692307692307693,0.1111111111111111,0.8,0.8195755481719971,0.5518123304675545,terminal; chatgpt; golang; bard; bing,0.4,0.15384615384615385,0.2222222222222222,1.0,0.8304649591445923,0.7289598583985899
49,Node.js module to interact with Apolitical's APIs,npm,http; apis; node modules,apis; apolitical; node; js; interact,0.2,0.3333333333333333,0.25,0.4,0.8173999786376953,0.5,js; node,0.0,0.0,0.0,0.5,0.6347997188568115,0.19004688335796713,interact; js; apolitical; node; apis,0.2,0.3333333333333333,0.25,0.4,0.8173999786376953,0.25872091687335336,js; node; apis; apolitical; interact,0.2,0.3333333333333333,0.25,0.4,0.8173999786376953,0.4298593499260986
50,decode html entities,npm,decode; html; entities,decode; html; entities,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,html; decode; entities,1.0,1.0,1.0,1.0,1.0,1.0,decode; html; entities,1.0,1.0,1.0,1.0,1.0,1.0
51,Parent POM for Microsoft Azure SDK for Java,maven,azure; azure-resources; azure-sdk; azure-services; hacktoberfest; java; media,azure; pom; java; parent; microsoft,0.4,0.2857142857142857,0.3333333333333333,0.4,1.0,0.45791971679717963,java; azure,1.0,0.2857142857142857,0.4444444444444445,1.0,1.0,0.5615443777322888,microsoft; pom; azure; parent; java,0.4,0.2857142857142857,0.3333333333333333,0.4,1.0,0.29806952783463897,azure; java; pom; microsoft; parent,0.4,0.2857142857142857,0.3333333333333333,0.4,1.0,0.5615443777322888
52,Parcel namer plugin to rename bundles by interpolating a filename template.,npm,parcel; parcel-plugin; parcel-namer; interpolate,bundles; rename; namer; parcel; filename,0.2,0.25,0.22222222222222224,0.4,1.0000001192092896,0.2604545425701507,parcel,1.0,0.25,0.4,1.0,1.0,0.31939394323979897,plugin; interpolating; rename; bundles; namer,0.0,0.0,0.0,0.6,0.979019045829773,0.22847471369190214,parcel; bundles; rename; namer; filename,0.2,0.25,0.22222222222222224,0.4,1.0000001192092896,0.3992424290497487
53,This is an SDK for the Comments Microapi at Microapi.dev Organization ,npm,sdk; comments; replies; microapi; microservice; organizations; applications; tokens; utility; services,microapi; dev; comments; organization,0.5,0.2,0.28571428571428575,0.75,0.9753023982048035,0.5281127640137158,,0.0,0.0,0.0,0.0,0.0,0.0,microapi; dev; organization; comments,0.5,0.2,0.28571428571428575,0.75,0.9753022789955139,0.5097320472647343,microapi; dev; comments; organization,0.5,0.2,0.28571428571428575,0.75,0.9753023982048035,0.5281127640137158
54,"Package tagexpr is an interesting go struct tag expression syntax for field validation, etc.  Copyright 2019 Bytedance Inc. All Rights Reserved.  Licensed under the Apache License, Version 2.0 (the ""L...",go,binding; dsl; expression; go; struct-tag; validator,tag; reserved; compliance; law; required,0.0,0.0,0.0,0.2,0.0,0.1403860944330722,see; apache; language,0.0,0.0,0.0,0.0,0.0,0.0,license; may; distributed; expression; syntax,0.2,0.16666666666666666,0.1818181818181818,0.2,1.0000003576278687,0.1403860944330722,apache; tag; reserved; field; rights,0.0,0.0,0.0,0.2,0.0,0.1403860944330722
55,"Provides easy access to a huge database of quotes of everybody's favorite rapper, Kanye West, through the kanye.rest API.",nuget,jolly; quote; quotes; generation; generator; interface; kanye; rest; west; api,kanye; quotes; rapper; west; database,0.6,0.2727272727272727,0.37499999999999994,0.6,0.9189269542694092,0.7019304721653611,database,0.0,0.0,0.0,0.0,0.0,0.0,kanye; huge; database; quotes; west,0.6,0.2727272727272727,0.37499999999999994,0.6,1.0,0.5420802832028203,database; kanye; quotes; west; rapper,0.6,0.2727272727272727,0.37499999999999994,0.6,0.918927013874054,0.598305811230252
