parameter_combination,model_name,ngram_range,top_n,stop_words_type,diversity_ratio,avg_keyword_length,score_variance,avg_score,execution_time
"paraphrase-multilingual-MiniLM-L12-v2_(2, 2)_5_basic",sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,"(2, 2)",5,basic,1.0,6.76,0.006223632,0.63404,28.00719404220581
"paraphrase-multilingual-MiniLM-L12-v2_(2, 2)_5_extended",sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,"(2, 2)",5,extended,1.0,6.76,0.006223632,0.63404,12.864134311676025
"paraphrase-multilingual-MiniLM-L12-v2_(2, 2)_10_basic",sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,"(2, 2)",10,basic,1.0,6.48,0.006386526176,0.607632,27.15083622932434
"paraphrase-multilingual-MiniLM-L12-v2_(2, 2)_10_extended",sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,"(2, 2)",10,extended,1.0,6.48,0.006386526176,0.607632,12.776439189910889
"bert-base_(1, 1)_5_basic",klue/bert-base,"(1, 1)",5,basic,1.0,4.28,0.0032860741440000002,0.20158400000000004,5.582311630249023
"bert-base_(1, 1)_5_extended",klue/bert-base,"(1, 1)",5,extended,1.0,4.28,0.0032860741440000002,0.20158400000000004,7.212589979171753
"bert-base_(1, 1)_10_basic",klue/bert-base,"(1, 1)",10,basic,0.96,3.34,0.003685645536,0.16089199999999998,5.09178352355957
"bert-base_(1, 1)_10_extended",klue/bert-base,"(1, 1)",10,extended,0.96,3.34,0.003685645536,0.16089199999999998,6.8029491901397705
"bert-base_(1, 2)_5_basic",klue/bert-base,"(1, 2)",5,basic,1.0,7.0,0.0018899596160000002,0.327628,4.998884201049805
"bert-base_(1, 2)_5_extended",klue/bert-base,"(1, 2)",5,extended,1.0,7.0,0.0018899596160000002,0.327628,6.714061498641968
"bert-base_(1, 2)_10_basic",klue/bert-base,"(1, 2)",10,basic,1.0,6.62,0.001754243924,0.309526,5.135928153991699
"bert-base_(1, 2)_10_extended",klue/bert-base,"(1, 2)",10,extended,1.0,6.62,0.001754243924,0.309526,6.533555507659912
"bert-base_(1, 3)_5_basic",klue/bert-base,"(1, 3)",5,basic,1.0,10.08,0.0009749082559999997,0.408112,6.705552339553833
"bert-base_(1, 3)_5_extended",klue/bert-base,"(1, 3)",5,extended,1.0,10.08,0.0009749082559999997,0.408112,7.932152509689331
"bert-base_(1, 3)_10_basic",klue/bert-base,"(1, 3)",10,basic,1.0,9.82,0.0009070053159999999,0.3951219999999999,5.815184116363525
"bert-base_(1, 3)_10_extended",klue/bert-base,"(1, 3)",10,extended,1.0,9.82,0.0009070053159999999,0.3951219999999999,7.362000942230225
"bert-base_(2, 2)_5_basic",klue/bert-base,"(2, 2)",5,basic,1.0,6.92,0.0017519338240000002,0.32632399999999995,5.778513669967651
"bert-base_(2, 2)_5_extended",klue/bert-base,"(2, 2)",5,extended,1.0,6.92,0.0017519338240000002,0.32632399999999995,6.7539963722229
"bert-base_(2, 2)_10_basic",klue/bert-base,"(2, 2)",10,basic,1.0,6.54,0.0016112469440000001,0.30821600000000005,5.756305932998657
"bert-base_(2, 2)_10_extended",klue/bert-base,"(2, 2)",10,extended,1.0,6.54,0.0016112469440000001,0.30821600000000005,6.166503667831421
"xlm-r-100langs-bert-base-nli-stsb-mean-tokens_(1, 1)_5_basic",sentence-transformers/xlm-r-100langs-bert-base-nli-stsb-mean-tokens,"(1, 1)",5,basic,1.0,3.16,0.007408068256,0.348012,11.64005446434021
"xlm-r-100langs-bert-base-nli-stsb-mean-tokens_(1, 1)_5_extended",sentence-transformers/xlm-r-100langs-bert-base-nli-stsb-mean-tokens,"(1, 1)",5,extended,1.0,3.16,0.007408068256,0.348012,15.272153377532959
"xlm-r-100langs-bert-base-nli-stsb-mean-tokens_(1, 1)_10_basic",sentence-transformers/xlm-r-100langs-bert-base-nli-stsb-mean-tokens,"(1, 1)",10,basic,0.96,2.74,0.006961793743999999,0.304784,19.889100074768066
"xlm-r-100langs-bert-base-nli-stsb-mean-tokens_(1, 1)_10_extended",sentence-transformers/xlm-r-100langs-bert-base-nli-stsb-mean-tokens,"(1, 1)",10,extended,0.96,2.74,0.006961793743999999,0.304784,15.203752756118774
"xlm-r-100langs-bert-base-nli-stsb-mean-tokens_(1, 2)_5_basic",sentence-transformers/xlm-r-100langs-bert-base-nli-stsb-mean-tokens,"(1, 2)",5,basic,1.0,5.88,0.002180562656,0.47848799999999997,21.463958263397217
"xlm-r-100langs-bert-base-nli-stsb-mean-tokens_(1, 2)_5_extended",sentence-transformers/xlm-r-100langs-bert-base-nli-stsb-mean-tokens,"(1, 2)",5,extended,1.0,5.88,0.002180562656,0.47848799999999997,16.256186723709106
"xlm-r-100langs-bert-base-nli-stsb-mean-tokens_(1, 2)_10_basic",sentence-transformers/xlm-r-100langs-bert-base-nli-stsb-mean-tokens,"(1, 2)",10,basic,1.0,5.88,0.003937498304,0.44566399999999995,21.05192232131958
"xlm-r-100langs-bert-base-nli-stsb-mean-tokens_(1, 2)_10_extended",sentence-transformers/xlm-r-100langs-bert-base-nli-stsb-mean-tokens,"(1, 2)",10,extended,1.0,5.88,0.003937498304,0.44566399999999995,15.713855504989624
"xlm-r-100langs-bert-base-nli-stsb-mean-tokens_(1, 3)_5_basic",sentence-transformers/xlm-r-100langs-bert-base-nli-stsb-mean-tokens,"(1, 3)",5,basic,1.0,8.84,0.0014358306559999992,0.546188,22.162116765975952
"xlm-r-100langs-bert-base-nli-stsb-mean-tokens_(1, 3)_5_extended",sentence-transformers/xlm-r-100langs-bert-base-nli-stsb-mean-tokens,"(1, 3)",5,extended,1.0,8.84,0.0014358306559999992,0.546188,18.324522256851196
"xlm-r-100langs-bert-base-nli-stsb-mean-tokens_(1, 3)_10_basic",sentence-transformers/xlm-r-100langs-bert-base-nli-stsb-mean-tokens,"(1, 3)",10,basic,1.0,8.36,0.0018168010439999997,0.5225660000000001,22.647867441177368
"xlm-r-100langs-bert-base-nli-stsb-mean-tokens_(1, 3)_10_extended",sentence-transformers/xlm-r-100langs-bert-base-nli-stsb-mean-tokens,"(1, 3)",10,extended,1.0,8.36,0.0018168010439999997,0.5225660000000001,18.690901517868042
"xlm-r-100langs-bert-base-nli-stsb-mean-tokens_(2, 2)_5_basic",sentence-transformers/xlm-r-100langs-bert-base-nli-stsb-mean-tokens,"(2, 2)",5,basic,1.0,6.0,0.0021437162240000003,0.476724,20.697293281555176
"xlm-r-100langs-bert-base-nli-stsb-mean-tokens_(2, 2)_5_extended",sentence-transformers/xlm-r-100langs-bert-base-nli-stsb-mean-tokens,"(2, 2)",5,extended,1.0,6.0,0.0021437162240000003,0.476724,16.536784648895264
"xlm-r-100langs-bert-base-nli-stsb-mean-tokens_(2, 2)_10_basic",sentence-transformers/xlm-r-100langs-bert-base-nli-stsb-mean-tokens,"(2, 2)",10,basic,1.0,5.98,0.003944866676,0.44191800000000003,22.060545682907104
"xlm-r-100langs-bert-base-nli-stsb-mean-tokens_(2, 2)_10_extended",sentence-transformers/xlm-r-100langs-bert-base-nli-stsb-mean-tokens,"(2, 2)",10,extended,1.0,5.98,0.003944866676,0.44191800000000003,16.055614948272705
